Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
Star Wars: Episode VII - The Force Awakens (2015),Walt Disney Studios Motion Pictures,16-Dec-15,936662225,1132859475,2069521700,2 hr 18 min,PG-13
Avengers: Endgame (2019),Walt Disney Studios Motion Pictures,24-Apr-19,858373000,1939128328,2797501328,3 hr 1 min,PG-13
Avatar (2009),Twentieth Century Fox,16-Dec-09,760507625,2086738578,2847246203,2 hr 42 min,PG-13
Black Panther (2018),Walt Disney Studios Motion Pictures,NA,700426566,647171407,1347597973,2 hr 14 min,NA
Avengers: Infinity War (2018),Walt Disney Studios Motion Pictures,NA,678815482,1369544272,2048359754,2 hr 29 min,NA
Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),NA,675813257,868642706,1544455963,2 hr 28 min,NA
Titanic (1997),Paramount Pictures,19-Dec-97,659363944,1542283320,2201647264,3 hr 14 min,PG-13
Jurassic World (2015),Universal Pictures,10-Jun-15,652385625,1018130819,1670516444,2 hr 4 min,PG-13
The Avengers (2012),Walt Disney Studios Motion Pictures,25-Apr-12,623357910,895457605,1518815515,2 hr 23 min,PG-13
Star Wars: Episode VIII - The Last Jedi (2017),Walt Disney Studios Motion Pictures,13-Dec-17,620181382,712517448,1332698830,2 hr 32 min,PG-13
Incredibles 2 (2018),Walt Disney Studios Motion Pictures,NA,608581744,634507500,1243089244,1 hr 58 min,NA
The Lion King (2019),Walt Disney Studios Motion Pictures,11-Jul-19,543638043,1119261396,1662899439,1 hr 58 min,PG
The Dark Knight (2008),Warner Bros.,16-Jul-08,534858444,471115201,1005973645,2 hr 32 min,PG-13
Rogue One: A Star Wars Story (2016),Walt Disney Studios Motion Pictures,14-Dec-16,532177324,523880396,1056057720,2 hr 13 min,PG-13
Star Wars: Episode IX - The Rise of Skywalker (2019),Walt Disney Studios Motion Pictures,18-Dec-19,515202542,558946737,1074149279,2 hr 21 min,PG-13
Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,16-Mar-17,504481165,769095055,1273576220,2 hr 9 min,PG
Finding Dory (2016),Walt Disney Studios Motion Pictures,NA,486295561,542275381,1028570942,1 hr 37 min,NA
Frozen II (2019),Walt Disney Studios Motion Pictures,20-Nov-19,477373578,972653355,1450026933,1 hr 43 min,PG
Star Wars: Episode I - The Phantom Menace (1999),Twentieth Century Fox,19-May-99,474544677,552538030,1027082707,2 hr 16 min,PG
Star Wars: Episode IV - A New Hope (1977),Twentieth Century Fox,25-May-77,460998507,195751992,775398007,2 hr 1 min,PG
Avengers: Age of Ultron (2015),Walt Disney Studios Motion Pictures,22-Apr-15,459005868,943803672,1402809540,2 hr 21 min,PG-13
The Dark Knight Rises (2012),Warner Bros.,19-Jul-12,448139099,633003513,1081142612,2 hr 44 min,PG-13
Shrek 2 (2004),DreamWorks Distribution,19-May-04,441226247,487534523,928760770,1 hr 33 min,PG
E.T. the Extra-Terrestrial (1982),Universal Pictures,11-Jun-82,435110554,304203888,792910554,1 hr 55 min,PG
Toy Story 4 (2019),Walt Disney Studios Motion Pictures,20-Jun-19,434038008,639356585,1073394593,1 hr 40 min,G
Captain Marvel (2019),Walt Disney Studios Motion Pictures,6-Mar-19,426829839,701633133,1128462972,2 hr 3 min,PG-13
The Hunger Games: Catching Fire (2013),Lionsgate,15-Nov-13,424668047,440343699,865011746,2 hr 26 min,PG-13
Pirates of the Caribbean: Dead Man's Chest (2006),Walt Disney Studios Motion Pictures,6-Jul-06,423315812,642863935,1066179747,2 hr 31 min,PG-13
The Lion King (1994),Walt Disney Studios Motion Pictures,15-Jun-94,422783777,640828028,1063611805,1 hr 28 min,G
Jurassic World: Fallen Kingdom (2018),Universal Pictures,6-Jun-18,417719760,892746536,1310466296,2 hr 8 min,PG-13
Toy Story 3 (2010),Walt Disney Studios Motion Pictures,16-Jun-10,415004880,651965931,1066970811,1 hr 43 min,NA
Wonder Woman (2017),Warner Bros.,30-May-17,412815408,410009114,822824522,2 hr 21 min,PG-13
Iron Man 3 (2013),Walt Disney Studios Motion Pictures,24-Apr-13,409013994,805797258,1214811252,2 hr 10 min,PG-13
Captain America: Civil War (2016),Walt Disney Studios Motion Pictures,27-Apr-16,408084349,745253147,1153337496,2 hr 27 min,PG-13
The Hunger Games (2012),Lionsgate,8-Mar-12,408010692,286384032,694394724,2 hr 22 min,PG-13
Spider-Man (2002),Sony Pictures Entertainment (SPE),3-May-02,407022860,418002176,825025036,2 hr 1 min,PG-13
Jumanji: Welcome to the Jungle (2017),Sony Pictures Entertainment (SPE),20-Dec-17,404540171,558002774,962542945,1 hr 59 min,PG-13
Jurassic Park (1993),Universal Pictures,11-Jun-93,404214720,629713583,1033928303,2 hr 7 min,PG-13
Transformers: Revenge of the Fallen (2009),DreamWorks,19-Jun-09,402111870,434191823,836303693,2 hr 29 min,PG-13
Frozen (2013),Walt Disney Studios Motion Pictures,22-Nov-13,400953009,880555091,1281508100,1 hr 42 min,PG
Spider-Man: Far from Home (2019),Sony Pictures Entertainment (SPE),28-Jun-19,390532085,741395911,1131927996,2 hr 9 min,PG-13
Guardians of the Galaxy Vol. 2 (2017),Walt Disney Studios Motion Pictures,25-Apr-17,389813101,473942950,863756051,2 hr 16 min,PG-13
Harry Potter and the Deathly Hallows: Part 2 (2011),Warner Bros.,NA,381409310,960912354,1342321665,2 hr 10 min,NA
Finding Nemo (2003),Walt Disney Studios Motion Pictures,30-May-03,380843261,559509384,940352645,1 hr 40 min,NA
Star Wars: Episode III - Revenge of the Sith (2005),Twentieth Century Fox,18-May-05,380270577,488119983,868390560,2 hr 20 min,PG-13
The Lord of the Rings: The Return of the King (2003),New Line Cinema,17-Dec-03,377845905,768185007,1146030912,3 hr 21 min,PG-13
Spider-Man 2 (2004),Sony Pictures Entertainment (SPE),30-Jun-04,373585825,415390628,788976453,2 hr 7 min,PG-13
The Passion of the Christ (2004),Newmarket Films,25-Feb-04,370782930,241271576,612054506,2 hr 7 min,R
The Secret Life of Pets (2016),Universal Pictures,24-Jun-16,368384330,507074301,875458631,1 hr 27 min,PG
Despicable Me 2 (2013),Universal Pictures,20-Jun-13,368065385,602700620,970766005,1 hr 38 min,PG
The Jungle Book (2016),Walt Disney Studios Motion Pictures,7-Apr-16,364001123,602553806,966554929,1 hr 46 min,PG
Deadpool (2016),Twentieth Century Fox,9-Feb-16,363070709,419766082,782836791,1 hr 48 min,R
Inside Out (2015),Walt Disney Studios Motion Pictures,10-Jun-15,356921711,501926308,858848019,1 hr 35 min,PG
Aladdin (2019),Walt Disney Studios Motion Pictures,22-May-19,355559216,695134737,1050693953,2 hr 8 min,PG
Furious 7 (2015),Universal Pictures,1-Apr-15,353007020,1162334379,1515341399,2 hr 17 min,PG-13
Transformers: Dark of the Moon (2011),DreamWorks,29-Jun-11,352390543,771403536,1123794079,2 hr 34 min,PG-13
American Sniper (2014),Warner Bros.,25-Dec-14,350126372,197300000,547426372,2 hr 13 min,R
The Lord of the Rings: The Two Towers (2002),New Line Cinema,18-Dec-02,342551365,604943730,947495095,2 hr 59 min,PG
Zootopia (2016),Walt Disney Studios Motion Pictures,NA,341268248,682852856,1024121104,1 hr 48 min,NA
The Hunger Games: Mockingjay - Part 1 (2014),Lionsgate,19-Nov-14,337135885,418220826,755356711,2 hr 3 min,PG-13
Spider-Man 3 (2007),Sony Pictures Entertainment (SPE),1-May-07,336530303,558453070,894983373,2 hr 19 min,PG-13
Minions (2015),Universal Pictures,9-Apr-15,336045770,823398892,1159444662,1 hr 31 min,PG
Joker (2019),Warner Bros.,2-Oct-19,335451311,738968073,1074419384,2 hr 2 min,R
Aquaman (2018),Warner Bros.,NA,335061807,813424079,1148485886,2 hr 23 min,NA
Spider-Man: Homecoming (2017),Sony Pictures Entertainment (SPE),5-Jul-17,334201140,545965784,880166924,2 hr 13 min,PG-13
Alice in Wonderland (2010),Walt Disney Studios Motion Pictures,3-Mar-10,334191110,691277106,1025468216,1 hr 48 min,PG
Guardians of the Galaxy (2014),Walt Disney Studios Motion Pictures,30-Jul-14,333718600,439631547,773350147,2 hr 1 min,PG-13
Forrest Gump (1994),Paramount Pictures,6-Jul-94,330455270,347770863,678226133,2 hr 22 min,PG-13
Batman v Superman: Dawn of Justice (2016),Warner Bros.,23-Mar-16,330360194,543277334,873637528,2 hr 32 min,PG-13
It (2017),Warner Bros.,6-Sep-17,328828874,372967570,701796444,2 hr 15 min,R
Suicide Squad (2016),Warner Bros.,3-Aug-16,325100054,421746840,746846894,2 hr 3 min,PG-13
Deadpool 2 (2018),Twentieth Century Fox,16-May-18,324591735,461304874,785896609,1 hr 59 min,R
Shrek the Third (2007),DreamWorks,17-May-07,322719944,490647436,813367380,1 hr 33 min,PG
Jumanji: The Next Level (2019),Sony Pictures Entertainment (SPE),4-Dec-19,320314960,479744747,800059707,2 hr 3 min,PG-13
Transformers (2007),DreamWorks,28-Jun-07,319246193,390463587,709709780,2 hr 24 min,PG-13
Iron Man (2008),Paramount Pictures,30-Apr-08,319034126,266762121,585796247,2 hr 6 min,PG-13
Harry Potter and the Sorcerer's Stone (2001),Warner Bros.,16-Nov-01,318087620,698725454,1016813075,2 hr 32 min,PG
Indiana Jones and the Kingdom of the Crystal Skull (2008),Paramount Pictures,21-May-08,317101119,473552823,790653942,2 hr 2 min,PG-13
The Lord of the Rings: The Fellowship of the Ring (2001),New Line Cinema,19-Dec-01,315710750,581979322,897690072,2 hr 58 min,PG-13
Thor: Ragnarok (2017),Walt Disney Studios Motion Pictures,24-Oct-17,315058289,538925622,853983911,2 hr 10 min,PG-13
Iron Man 2 (2010),Paramount Pictures,28-Apr-10,312433331,311500000,623933331,2 hr 4 min,PG-13
Star Wars: Episode II - Attack of the Clones (2002),Twentieth Century Fox,16-May-02,310676740,343103230,653779970,2 hr 22 min,PG
Pirates of the Caribbean: At World's End (2007),Walt Disney Studios Motion Pictures,22-May-07,309420425,651576067,960996492,2 hr 49 min,PG-13
Star Wars: Episode VI - Return of the Jedi (1983),Twentieth Century Fox,25-May-83,309306177,122009457,475106177,2 hr 11 min,PG
Independence Day (1996),Twentieth Century Fox,3-Jul-96,306169268,511231623,817400891,2 hr 25 min,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Walt Disney Studios Motion Pictures,9-Jul-03,305413918,348850097,654264015,2 hr 23 min,PG-13
Skyfall (2012),Sony Pictures Entertainment (SPE),25-Oct-12,304360277,804209222,1108569499,2 hr 23 min,PG-13
The Hobbit: An Unexpected Journey (2012),Warner Bros.,NA,303003568,714000000,1017003568,2 hr 49 min,NA
